,price,sedan_count
0,5499.0,1
1,6575.0,1
2,6649.0,1
3,6692.0,2
4,6695.0,1
5,6785.0,1
6,6849.0,1
7,6938.0,1
8,6989.0,1
9,7099.0,1
10,7126.0,1
11,7295.0,1
12,7299.0,1
13,7395.0,1
14,7499.0,1
15,7609.0,2
16,7738.0,1
17,7775.0,2
18,7898.0,1
19,7975.0,1
20,7995.0,1
21,8058.0,1
22,8189.0,1
23,8195.0,1
24,8495.0,2
25,8558.0,1
26,8845.0,1
27,8916.5,2
28,8948.0,1
29,9233.0,1
30,9258.0,1
31,9279.0,2
32,9298.0,1
33,9495.0,1
34,9549.0,1
35,9960.0,1
36,9995.0,1
37,10245.0,1
38,10295.0,1
39,10345.0,1
40,10698.0,1
41,10795.0,1
42,10898.0,1
43,11259.0,1
44,11900.0,1
45,12170.0,1
46,12940.0,1
47,12945.0,1
48,13200.0,1
49,13295.0,1
50,13499.0,2
51,13845.0,1
52,13950.0,1
53,15250.0,1
54,15510.0,1
55,15580.0,1
56,15690.0,1
57,15985.0,1
58,16430.0,1
59,16630.0,1
60,16845.0,1
61,16900.0,1
62,16925.0,1
63,17450.0,1
64,17710.0,1
65,17950.0,1
66,18150.0,1
67,18280.0,1
68,18344.0,1
69,18420.0,1
70,18620.0,1
71,19045.0,1
72,20970.0,1
73,21105.0,1
74,21485.0,1
75,22470.0,1
76,22625.0,1
77,23875.0,1
78,24565.0,1
79,25552.0,1
80,30760.0,1
81,31600.0,1
82,32250.0,1
83,34184.0,1
84,35550.0,1
85,36000.0,1
86,36880.0,1
87,40960.0,1
88,41315.0,1
