,horsepower,enginesize
0,111,130
1,111,130
2,154,152
3,102,109
4,115,136
5,110,136
6,110,136
7,110,136
8,140,131
9,160,131
10,101,108
11,101,108
12,121,164
13,121,164
14,121,164
15,182,209
16,182,209
17,182,209
18,48,61
19,70,90
20,70,90
21,68,90
22,68,90
23,102,98
24,68,90
25,68,90
26,68,90
27,102,98
28,88,122
29,145,156
30,58,92
31,76,92
32,60,79
33,76,92
34,76,92
35,76,92
36,76,92
37,86,110
38,86,110
39,86,110
40,86,110
41,101,110
42,100,110
43,78,111
44,70,90
45,70,90
46,90,119
47,176,258
48,176,258
49,262,326
50,68,91
51,68,91
52,68,91
53,68,91
54,68,91
55,101,70
56,101,70
57,101,70
58,135,80
59,84,122
60,84,122
61,84,122
62,84,122
63,64,122
64,84,122
65,120,140
66,72,134
67,123,183
68,123,183
69,123,183
70,123,183
71,155,234
72,155,234
73,184,308
74,184,304
75,175,140
76,68,92
77,68,92
78,68,92
79,102,98
80,116,110
81,88,122
82,145,156
83,145,156
84,145,156
85,88,122
86,88,122
87,116,110
88,116,110
89,69,97
90,55,103
91,69,97
92,69,97
93,69,97
94,69,97
95,69,97
96,69,97
97,69,97
98,69,97
99,97,120
100,97,120
101,152,181
102,152,181
103,152,181
104,160,181
105,200,181
106,160,181
107,97,120
108,95,152
109,97,120
110,95,152
111,95,120
112,95,152
113,95,120
114,95,152
115,97,120
116,95,152
117,142,134
118,68,90
119,102,98
120,68,90
121,68,90
122,68,98
123,88,122
124,145,156
125,143,151
126,207,194
127,207,194
128,207,194
129,288,203
130,90,132
131,90,132
132,110,121
133,110,121
134,110,121
135,110,121
136,160,121
137,160,121
138,69,97
139,73,108
140,73,108
141,82,108
142,82,108
143,94,108
144,82,108
145,111,108
146,82,108
147,94,108
148,82,108
149,111,108
150,62,92
151,62,92
152,62,92
153,62,92
154,62,92
155,62,92
156,70,98
157,70,98
158,56,110
159,56,110
160,70,98
161,70,98
162,70,98
163,70,98
164,70,98
165,112,98
166,112,98
167,116,146
168,116,146
169,116,146
170,116,146
171,116,146
172,116,146
173,92,122
174,73,110
175,92,122
176,92,122
177,92,122
178,161,171
179,161,171
180,156,171
181,156,161
182,52,97
183,85,109
184,52,97
185,85,109
186,85,109
187,68,97
188,100,109
189,90,109
190,90,109
191,110,136
192,68,97
193,88,109
194,114,141
195,114,141
196,114,141
197,114,141
198,162,130
199,162,130
200,114,141
201,160,141
202,134,173
203,106,145
204,114,141
