,CarMake,AveragePrice
0,,6122.0
1,Nissan,5499.0
2,alfa-romero,15498.333333333334
3,audi,17859.166714285715
4,bmw,26118.75
5,buick,33647.0
6,chevrolet,6007.0
7,dodge,7875.444444444444
8,honda,8184.692307692308
9,isuzu,8916.5
10,jaguar,34600.0
11,maxda,5645.0
12,mazda,11320.6
13,mercury,16503.0
14,mitsubishi,9239.76923076923
15,nissan,10704.882352941177
16,peugeot,15489.09090909091
17,plymouth,7963.428571428572
18,porcshce,32528.0
19,porsche,31118.625
20,renault,9595.0
21,saab,15223.333333333334
22,subaru,9025.1
23,toyota,9696.645161290322
24,toyouta,15750.0
25,vokswagen,7775.0
26,volkswagen,10175.555555555555
27,volvo,18063.18181818182
28,vw,10787.5
